clust,num,tissue.subsets,tissue,identity.super,identity.sub,identity.super.short,identity.sub.short,zfin,daniocell.cluster,clust.collapse,ident.gene.1,ident.gene.2,ident.gene.3,roc.1,roc.2,roc.3,roc.4,roc.5,roc.6,wilcox.1,wilcox.2,wilcox.3,wilcox.4,wilcox.5,wilcox.6,
iono.2,2,ionocytes,ionocyte,ionocytes,"Na+/Cl- cotransporter, epidermal",ionocytes,"Na+/Cl- cotransporter, epidermal","ZFA:0005323,ZFA:0005579",iono.2,iono.ct.2,atp1a1a.3,slc12a10.2,clcn2c,si:dkey-189h5.6,atp1a1a.3,LOC799574,slc12a10.2,slc4a4b,prdx5,clcn2c,si:dkey-189h5.6,slc12a10.2,atp1a1a.3,slc4a4b,gsto1,
iono.3,3,ionocytes,ionocyte,ionocytes,"Na+/Cl- cotransporter, gill",ionocytes,"Na+/Cl- cotransporter, gill","ZFA:0005323,ZFA:0005324,ZFA:0005579",iono.3,iono.ct.2,atp1a1a.3,rhcgl1,clcn2c,wu:fa03e10,krt17,tcnbb,si:dkeyp-51b9.3,cyt1,si:ch211-207n23.2,si:dkeyp-51b9.3,clcn2c,rhcgl1,slc12a10.2,wu:fa03e10,si:ch211-207n23.2,
iono.4,4,ionocytes,,ionocytes/mucous,"mixed progenitors, proliferative",ionocytes/mucous,"mixed progenitors, prolif.","ZFA:0007123,ZFA:0009159",iono.4,iono.ct.4,mki67,foxi3a/b,lbr,hmgb2a,h3f3a,mki67,hmgn2,cdk1,tubb2b,tpx2,cenpf,cdk1,cdca8,tacc3,mad2l1,
iono.5,5,ionocytes,ionocyte,ionocytes,KS (K+ secreting),ionocytes,KS (K+ secreting),ZFA:0005323,iono.5,iono.ct.5,atp1b1b,kcnj1a.2-6,foxi3b,ndrg1a,atp1b1b,atp1a1a.2,si:dkey-33i11.4,CR786562.1,kcnj1a.2,CR786562.1,kcnj1a.5,kcnj1a.2,kcnj1a.6,pip5k1ca,kcnj1a.3,
iono.6,6,ionocytes,ionocyte,ionocytes,,ionocytes,,ZFA:0005323,iono.6,iono.ct.4,ccdc167,atp5mf,foxi3a/b,rps29,si:dkey-151g10.6,rpl39,rplp1,rpl38,rps28,rps29,si:dkey-151g10.6,rpl39,rplp1,rpl38,rpl29,
iono.7,7,ionocytes,mucous,mucous secreting,peridermal (muc13+),mucous secreting,peridermal (muc13+),ZFA:0009159,iono.7,iono.ct.7,muc13,lye,agr1,icn2,wu:fb18f06,anxa1c,zgc:193505,agr1,lye,zgc:112964,nos1,uraha,si:dkey-56i24.1,si:dkey-239b22.2,si:ch211-264e16.1,
iono.8,8,ionocytes,mucous,mucous secreting,"gill arches (muc5.1+/5.2-, rhcgl+)",mucous secreting,"gill arch (muc5.1+/5.2-, rhcgl+)","ZFA:0009159, ZFA:0000354",iono.8,iono.ct.7,muc5.1+/muc5.2+,rhcgl1,rhcga,wu:fa03e10,si:ch211-207n23.2,cyt1,si:dkeyp-51b9.3,dhrs13a.2,si:ch211-195b11.3,rhcgl1,si:dkeyp-51b9.3,si:ch211-207n23.2,rhcga,stx11b.1,CABZ01027551.1,
iono.9,9,ionocytes,ionocyte,ionocytes,"mixed branchial (Na+/Cl-, Na+/K+)",ionocytes,"mixed branchial (Na+/Cl-, Na+/K+)","ZFA:0005323,ZFA:0005326,ZFA:0005579",iono.9,iono.ct.9,clcn2c,s100a11,krt1-19d,zgc:111983,ppl,si:ch211-125o16.4,scel,evplb,ctsl.1,zgc:165423,pkhd1l1,si:ch73-97h19.2,FP016234.1,CABZ01102170.1,ctsl.1,
iono.10,10,ionocytes,ionocyte,ionocytes,"HR (H+ ATPase-rich), 18-48 hpf",ionocytes,"H+ ATPase-rich, 18-48 hpf","ZFA:0005323,ZFA:0005327",iono.10,iono.ct.12,slc4a1b,atp6v1aa,atp6v1e1b,atp6v1g1,atp6v1e1b,ca2,ca15a,rnaseka,atp6v1c1b,scgn,slc6a6a,nr6a1a,ca15a,ceacam1,pfas,
iono.11,11,ionocytes,mucous,mucous secreting,"epidermal (muc5.1/5.2+, earlier)",mucous secreting,"epidermal (muc5.1/5.2+, earlier)",ZFA:0009159,iono.11,iono.ct.11,muc5.1,gpr55a,nansb,agr2,kdelr2b,icn,ssr3,ssr4,ssr2,fev,foxa3,agr2,SPDEF,nansb,tspan13a,
iono.12,12,ionocytes,ionocyte,ionocytes,"HR (H+ ATPase-rich), earlier (rhcgb-)",ionocytes,"H+ ATPase-rich, early/rhcgb-","ZFA:0005323,ZFA:0005327",iono.12,iono.ct.12,slc4a1b,foxi3a,ca15a,foxi3a,gcm2,prdx2,fscn1a,fthl27,si:dkey-44g23.5,cldn10l2,foxi3a,gcm2,etf1a,BX649337.2,fscn1a,
iono.13,13,ionocytes,ionocyte,ionocytes,NaR (Na+ K+ ATPase Rich),ionocytes,NaR (Na+ K+ ATPase Rich),"ZFA:0005323,ZFA:0005326",iono.13,iono.ct.13,trpv6,s100a11,atp1a1a.1,s100a11,trpv6,atp1a1a.1,pvalb8,mafbb,igfbp5a,igfbp5a,LOC101886621,trpv6,FP016234.1,si:dkey-159a18.1,fstb,
iono.14,14,ionocytes,mucous,mucous secreting,"epidermal (muc5.1/5.2+, col1a2+), 24-60 hpf",mucous secreting,epidermal 24-60 h (muc5.1/5.2+),ZFA:0009159,iono.14,iono.ct.14,muc5.1+/muc5.2+,col1a2,kera,tmsb4x,col1a2,sparc,postnb,actb1,col1a1b,dcn,col28a2a,serpinh1b,matn4,col7a1,fkbp10b,
iono.15,15,ionocytes,ionocyte,ionocytes,"progenitors, proliferative",ionocytes,"progenitors, proliferative","ZFA:0007123,ZFA:0005323",iono.15,iono.ct.4,foxi3a+/foxi3b+,cdc6,pcna,pcna,stmn1a,nasp,si:ch211-222l21.1,h3f3a,hmgb2b,cdc6,nasp,slbp,asf1ba,zgc:110540,pcna,
iono.16,16,ionocytes,ionocyte,ionocytes,"unknown, dental enameloid",ionocytes,"unknown, dental enameloid",ZFA:0005323,iono.16,iono.ct.16,slc20a1a,slc38a3a,scpp9,pitx2,alpi.1,cx43,cldn5a,ptmaa,dlx3b,alpi.1,cldn5a,cx43,dlx2b,fam20a,foxi2,
iono.17,17,ionocytes,ionocyte,ionocytes,"HR (H+ ATPase-rich), later (rhcgb+)",ionocytes,"H+ ATPase-rich, later/rhcgb+","ZFA:0005323,ZFA:0005327",iono.17,iono.ct.12,atp6v1aa,rhcgb,slc4a1b,si:dkey-192d15.2,rhcgb,eef2l2,ceacam1,atp6v1aa,atp6v1e1b,ly6m2,rhcgb,serpinc1,si:dkey-192d15.2,eef2l2,zgc:193726,
iono.18,18,ionocytes,mucous,mucous secreting,"epidermal (muc5.1/5.2+, col1a2+), cxl34b.11+, 60-120 hpf",mucous secreting,epidermal 60-120 h (muc5.1/5.2+),ZFA:0009159,iono.18,iono.ct.14,muc5.1+/muc5.2+,cxl34b.11,col1a2,rbp4,si:dkey-33c14.3,pfn1,cxl34b.11,col1a2,cldn1,col17a1a,fmodb,soul5,col5a3b,itgb3a,si:dkey-95h12.1,
iono.19,19,ionocytes,,doublets?,ionocytes/neurons,doublets?,ionocytes/neurons,,iono.19,,scrt2,cspg5a,gpm6ab,tuba1c,marcksl1b,marcksl1a,nova2,gpm6aa,elavl3,cspg5a,gpm6aa,gpm6ab,cadm3,nova2,CR759927.3,
iono.20,20,ionocytes,ionocyte,ionocytes,"Na+/Cl-, Na+/K+, trpv6-/foxl2b+/tspearb+",ionocytes,"Na+/Cl-, Na+/K+, trpv6-/foxl2b+/tspearb+","ZFA:0005323,ZFA:0005326,ZFA:0005579",iono.20,iono.ct.9,trpv6-/s100a11-,foxl2b,tspearb,rhbg,rpl19,epgn,epas1b,tlx2,lama5,apln,col4a3,edn2,fgfrl1a,foxl2b,ntn1a,
iono.21,21,ionocytes,ionocyte,ionocytes,progenitors (14-21 hpf),ionocytes,progenitors (14-21 hpf),"ZFA:0007123,ZFA:0005323",iono.21,iono.ct.14,foxi3a/b,pros1,nme2a,BX927258.1,apoc1,apoeb,hnrnpaba,hmga1a,khdrbs1a,nme2a,CABZ01038709.1,XLOC-001603,XLOC-039121,pros1,inaa,
iono.22,22,ionocytes,mucous,mucous-secreting,gill lamellae (muc5.1+/5.2-),mucous-secreting,gill lamellae (muc5.1+/5.2-),"ZFA:0009159,ZFA:0000211",iono.22,iono.ct.11,muc5.1+/muc5.2-,vtcn1,NA,si:ch73-288o11.5,muc5.1,icn,si:ch73-306e8.2,agr2,si:dkey-65b12.6,si:ch73-288o11.5,si:ch211-251f6.6,si:ch211-251f6.7,si:ch211-25g7.5,si:ch73-306e8.2,si:dkey-208c12.2,
mese.1,1,mesenchyme,mesenchyme,progenitors,M-phase (some pharyngeal arch),progenitors,M-phase (some pharyngeal arch),,mese.1,mese.ct.3,fmoda/fibina,kpna,cdk1,ube2c,hmgb2a,ccnb1,cdc20,mki67,kpna2,actb1,akirin2,anln,anp32a,anp32b,arf6a,
mese.2,2,mesenchyme,mesenchyme,stromal cells,cxcl12a / ccl25b+,stromal cells,cxcl12a / ccl25b+,,mese.2,mese.ct.3,col5a2a,jun,cxcl12a/ccl25b,CR383676.1,rbp4,col1a1b,jun,pmp22a,col5a2a,CABZ01092746.1,CR383676.1,rbp4,si:ch211-251b21.1,zgc:153704,col1a1b,
mese.3,3,mesenchyme,mesenchyme,pharyngeal arch,perichondrium,pharyngeal arch,perichondrium,,mese.3,mese.ct.3,hyal4,mafa,foxp2,ogna,zgc:162730,col1a2,sparc,ecrg4a,foxp4,aspn,col11a1b,col1a2,ctgfb,ecrg4a,foxp4,
mese.4,4,mesenchyme,mesenchyme,mesenchyme,branchial (36-94 hpf),mesenchyme,branchial (36-94 hpf),,mese.4,mese.ct.3,prrx1a/prrx1b,hoxa2b,meis1a,cirbpb,si:ch211-222l21.1,ybx1,hnrnpa0l,rps12,hspa8,cirbpb,prrx1b,si:ch211-222l21.1,six1a,hey1,prrx1a,
mese.5,5,mesenchyme,mesenchyme,cartilage/tendon,"(tnmd/xirp2a+, incl. ceratobranchial pax1a/b+)",cartilage/tendon,incl. ceratobranchial,,mese.5,mese.ct.5,pax1a/pax1b,hoxb9a/b10a/c9a/c6b,fmoda/vwde,col1a1b,tnn,col1a2,col5a2a,col1a1a,postnb,angptl2a,aplnr2,c1qtnf12,c7a,ca6,cd82a,
mese.6,6,mesenchyme,,likely doublets,neural/mesenchyme,likely doublets,neural/mesenchyme,,mese.6,,elavl3/l4,stmn1b,rtn1a,tuba1c,elavl3,stmn1b,rtn1a,gpm6aa,ptmaa,aatkb,ache,adam22,adam23a,adcyap1b,add2,
mese.7,7,mesenchyme,mesenchyme,cartilage,(incl. some pharyngeal),cartilage,(incl. some pharyngeal),,mese.7,mese.ct.7,otos,dlx4a/5a,col9a2/col9a3,col2a1a,col9a2,col9a1a,matn4,col9a3,col11a1a,AL929222.2,cnmd,col11a1a,col11a1b,col11a2,col2a1a,
mese.8,8,mesenchyme,mesenchyme,pharyngeal arch,dermal fibroblasts (pah+/hpdb+),pharyngeal arch,dermal fibroblasts (pah+/hpdb+),,mese.8,mese.ct.3,hpdb,chl1a,pah/tat,hpdb,ttc36,hgd,krt8,rgs5a,bhmt,asip1,asip2b,dlx4a,dlx5a,gstz1,hgd,
mese.9,9,mesenchyme,mesenchyme,cardiac mesenchyme,later,cardiac mesenchyme,later,,mese.9,mese.ct.9,gata5/6/hand2,isl2b,jam2b,tmem88b,jam2b,pcolcea,tmsb4x,cavin2b,ftr82,adamts15a,agrp,alcamb,aldh1a2,aqp1a.1,arl4aa,
mese.10,10,mesenchyme,mesenchyme,pharyngeal arch,intermediate (incl. jaw joint),pharyngeal arch,intermediate (incl. jaw joint),,mese.10,mese.ct.3,nkx3.2,nr2f1b,dlx4a/4b/5a,dlx5a,dlx4a,dlx3b,dlx4b,dlx2a,dlx1a,dlx1a,dlx2a,dlx3b,dlx4a,dlx4b,dlx5a,
mese.11,11,mesenchyme,mesenchyme,cardiac mesenchyme,early,cardiac mesenchyme,early,,mese.11,mese.ct.9,gata5/6/hand2,myl7/myh7,isl2b,hsp90ab1,hnrnpa0l,khdrbs1a,npm1a,ran,hmga1a,aldoaa,apex1,BX927258.1,CABZ01075068.1,cdca7a,cdca7b,
mese.12,12,mesenchyme,mesenchyme,pharyngeal arch,progenitors,pharyngeal arch,progenitors,,mese.12,mese.ct.3,pcna,rrm2,barx1,stmn1a,h3f3a,tubb2b,dut,pcna,zgc:165555.3,aaas,adssl,ahcy,anp32b,asf1ba,asf1bb,
mese.13,13,mesenchyme,,likely doublets,neural/mesenchyme,likely doublets,neural/mesenchyme,,mese.13,,atp1b4,NA,NA,her15.1,XLOC-003692,ptmab,XLOC-003690,fabp7a,her4.2,ascl1a,ascl1b,BX530077.1,cadm3,cldn5a,CR848047.1,
mese.14,14,mesenchyme,,likely doublets,neural/mesenchyme,likely doublets,neural/mesenchyme,,mese.14,,rps29,rpl38,NA,rps29,rpl38,si:dkey-151g10.6,rpl29,rpl37,rpl39,rpl38,rps29,si:dkey-151g10.6,rpl29,rpl37,rpl39,
mese.15,15,mesenchyme,mesenchyme,cartilage,"(mia/acana+, incl. some pharyngeal)",cartilage,"(mia/acana+, incl. some pharyngeal)",,mese.15,mese.ct.7,wisp3,otos,dlx4a/5a,matn1,col11a1a,col11a2,col2a1a,col9a1a,fgfbp2b,abtb2a,acana,acanb,adamts3,aff3,AL929222.2,
mese.16,16,mesenchyme,mesenchyme,pectoral fin bud,chondrogenic mesenchyme,pectoral fin bud,chondrogenic mesenchyme,,mese.16,mese.ct.7,tbx5a,f13a1b,acana,fgfbp2b,col8a2,krt18a.1,emilin3a,krt8,si:dkey-19b23.8,abtb2a,acana,acanb,aldob,ano1,anxa1a,
mese.17,17,mesenchyme,,likely doublets,neural/mesenchyme,likely doublets,neural/mesenchyme,,mese.17,,vsx1,gng13b,snap25b,syt5b,ckbb,snap25b,gpm6aa,calb2b,vsx1,acbd7,aldocb,amph,ank2b,AP3B2,apba1b,
mese.18,18,mesenchyme,mesenchyme,progenitors,head (alx1+/npb+),progenitors,head (alx1+/npb+),,mese.18,mese.ct.18,npb,alx4a,alx1,tuba8l4,pcna,h3f3a,tubb2b,hmgb2a,dut,adra1ba,alx1,anp32b,asf1ba,BX324132.3,CABZ01005379.1,
mese.19,19,mesenchyme,mesenchyme,pharyngeal arch,arches 1 & 2 (foxl1/foxf1/foxf2a+),pharyngeal arch,arches 1 & 2 (foxl1/foxf1/foxf2a+),,mese.19,mese.ct.3,hoxb5a/b6a,foxl1/foxf1/foxf2a,gsc,foxf2a,col6a2,col6a4a,col6a1,foxf1,col6a3,col6a1,col6a2,col6a4a,foxf1,foxf2a,foxf2b,
mese.20,20,mesenchyme,mesenchyme,fibroblasts,en1a/en1b+,fibroblasts,en1a/en1b+,,mese.20,mese.ct.20,en1a/en1b,itgbl1,fmoda/vwde,vwde,col1a1b,col1a2,col1a1a,col5a1,postnb,cilp,clec3ba,col1a1a,col1a1b,col1a2,col5a2a,
mese.21,21,mesenchyme,mesenchyme,meninges,precursors,meninges,precursors,,mese.21,mese.ct.21,zic2a/zic5,fxyd1,tfpia,fxyd1,zic2a,si:ch73-86n18.1,alcama,tgfbi,foxd1,alcama,apof,atp1b4,cfi,cldn11a,cx44.2,
mese.22,22,mesenchyme,mesenchyme,periocular mesenchyme,collagenous,periocular mesenchyme,collagenous,,mese.22,mese.ct.25,pitx1/2/3,matn4+/col9a1+/col2a1a+,lmx1ba/b,pitx2,foxc1a,lmx1bb,tnn,slc29a1a,tmsb4x,aqp3a,enpp6,foxc1a,igfbp7,irx1b,irx2a,
mese.23,23,mesenchyme,mesenchyme,unknown (facial mesenchyme?),"alx1/4a+, foxl2a/b+, adamts15b/16+",unknown (facial mese.?),"alx1/4a+, foxl2a/b+",,mese.23,mese.ct.18,adamts16,alx1/alx4a,foxl2a/2b,pmp22a,krt18b,si:dkey-261h17.1,rpz5,krt8,akap12b,akap12b,alx1,c1qtnf2,col18a1a,CU914487.1,emid1,
mese.24,24,mesenchyme,mesenchyme,head mesenchyme,msx1b+ alx1+ zic1/2a/4+ fmoda+,head mesenchyme,msx1b+ alx1+ zic1/2a/4+ fmoda+,,mese.24,mese.ct.18,zic/zic4,msx1b/msx3,fmoda/vwde,msx1b,fmoda,tnn,cd248b,bhmt,tgfbi,adma,alx1,BX324132.3,ca6,csf1a,FO744854.1,
mese.25,25,mesenchyme,mesenchyme,periocular mesenchyme,non-collagenous / cornea (gbe1a+),periocular mese.,non-collagenous/cornea (gbe1a+),,mese.25,mese.ct.25,scinla/gbe1a,matn4-/col9a1-/col2a1a-,pitx1/2/3/lmx1ba/b,gyg1b,si:dkey-16p21.8,tkta,si:dkey-164f24.2,scinla,pitx2,adcy6b,akr1b1,AL954322.2,alcamb,alpl,arhgap20b,
mese.26,26,mesenchyme,mesenchyme,mesenchyme,"108-120 hpf, maybe technical",mesenchyme,"108-120 hpf, maybe technical",,mese.26,,NA,NA,NA,rplp1,rps26l,rpl36a,rpl37,rpl23,rps25,rplp1,rpl36a,rps26l,rpl37,rpl23,rps25,
mese.27,27,mesenchyme,mesenchyme,pectoral fin bud,mesenchyme,pectoral fin bud,mesenchyme,,mese.27,mese.ct.7,tbx5a,hoxd9a/hoxd11a/hoxd13a,vwde/fmoda,tbx5a,hoxd9a,tbx15,hoxa13b,hoxd12a,si:ch211-263k4.2,hoxa13b,hoxa9b,hoxd11a,hoxd12a,hoxd13a,hoxd9a,
mese.28,28,mesenchyme,,likely doublets,epidermis/mesenchyme,likely doublets,epidermis/mesenchyme,,mese.28,,il17rc,apodb,cmah,cyt1,cfl1l,cyt1,epcam,pfn1,tmsb1,atp8b1,CABZ01092156.1,cd9b,cdh1,cfl1l,cldn1,
mese.29,29,mesenchyme,mesenchyme,meninges,leptomeninges,meninges,leptomeninges,,mese.29,mese.ct.21,ggctb,epd,atp1b4,ggctb,mdka,atp1a1a.1,fxyd1,epd,atp1b4,abca1b,ak1,apof,aqp7,aspa,atp1a1a.1,
mese.30,30,mesenchyme,,likely doublets,neural/mesenchyme,likely doublets,neural/mesenchyme,,mese.30,,fabp7a,slc1a2b,wls,mdkb,fabp7a,atp1a1b,slc1a2b,si:ch211-66e2.5,CU467822.1,abi3a,adra1ab,aqp1a.1,atp1a1b,atp1b4,ca4a,
mese.31,31,mesenchyme,mesenchyme,osteoblasts,,osteoblasts,,,mese.31,mese.ct.31,col10a1a,enam/phex,panx3,ifitm5,col10a1a,cd81b,tmem119a,panx3,sgms2a,adamts18,ano5a,bgna,bmper,cadm1b,cd81b,
mese.32,32,mesenchyme,mesenchyme,meninges,meningeal fibroblasts,meninges,meningeal fibroblasts,,mese.32,mese.ct.21,igfbp2,kcnq5,plat,atp1b1a,zgc:158423,bhmt,fxyd1,cx43,atp1a1a.1,ahcyl1,alpl,atp2c1,BX005328.1,cdh26.1,clec3ba,
mese.33,33,mesenchyme,mesenchyme,neural crest,unknown (possibly enteric - phox2bb+),neural crest,unknown (possibly enteric - phox2bb+),,mese.33,mese.ct.33,foxd3/sox10,phox2bb,entpd3,tuba8l3,foxd3,mcamb,fabp7a,phlda2,marcksl1b,chl1b,creld1a,depdc7a,entpd3,erbb3b,fa2h,
mura.1,1,mural,mural cell,mural cell,cycling,mural cell,cycling,ZFA:0005944,mura.1,mura.ct.12,mcm6,pcna,cdca7,hmga1a,hmgb2a,hmgb2b,h3f3a,tubb2b,hmgn2,stmn1a,mki67,dut,mad2l1,hmga1a,aurkb,
mura.2,2,mural,vascular smooth muscle,vascular smooth muscle,primary head sinus / ventral aorta / aortic arch,vascular smooth muscle,"prim. head sinus, aorta",ZFA:0005321,mura.2,mura.ct.2,sfrp2,pax1a,foxc1a,wfdc2,tpm4b,actb2,myl9a,cdh11,mxra8b,wfdc2,sfrp2,si:ch211-106j24.1,pax1a,htra3b,foxc1a,
mura.3,3,mural,,fibroblast,myofibroblasts,fibroblast,myofibroblasts,ZFA:0009026,mura.3,mura.ct.11,ndufa4l2a/acta2/pdgfra,col1a2/col5a2a,bgna/dcn/ctgfa,dcn,sparc,col1a2,eno3,col5a2a,col1a1a,sema3c,LOC101885478,si:dkey-42i9.16,bgna,ecrg4a,pstpip2,
mura.4,4,mural,pericytes,pericyte,2 (epas1a/esama+),pericyte,2 (epas1a/esama+),ZFA:0009112,mura.4,mura.ct.4,ndufa4l2a,igfbp7,epas1a/esama,ndufa4l2a,igfbp7,si:dkey-238c7.16,rasl12,notch3,tmem119b,angptl3,ndufa4l2a,prox2,FO704741.1,epas1a,si:ch211-195b13.1,
mura.5,5,mural,mural cell,mesenchyme,aqp1a.1+ / podxl+ / cd151+ / rhag+,mesenchyme,aqp1a.1+ / podxl+ / cd151+ / rhag+,ZFA:0009081,mura.5,mura.ct.5,tbxa2r,wt1a,aqp1a.1,podxl,cavin2b,jam2b,aqp1a.1,cav1,krt15,podxl,aqp1a.1,jam2b,cavin2b,cxcl8b.1,bcam,
mura.6,6,mural,,putative doublets,neural / mural,putative doublets,neural / mural,,mura.6,,acta2/tagln,NA,NA,nova2,gpm6aa,tuba1c,rtn1a,elavl3,stmn1b,nova2,gng3,si:ch211-137a8.4,rtn1b,sypb,cspg5a,
mura.7,7,mural,mural cell,mural cell,likely technical (or general progenitors),mural cell,technical or general progenitors,ZFA:0005944,mura.7,,NA,NA,NA,rpl29,rps29,rpl37,rps28,rpl38,si:dkey-151g10.6,rpl29,rps29,rpl37,rps28,rpl38,si:dkey-151g10.6,
mura.8,8,mural,visceral smooth muscle,visceral smooth muscle,intestine (circular),visceral smooth muscle,intestine (circular),"ZFA:0001324,ZFA:0005278",mura.8,mura.ct.13,kcnk18/fsta,desmb,smtn2a/2b,tpm2,tagln,myl6,tpm1,myl9a,desmb,kcnk18,actc1a,desmb,cald1b,acta1a,cabp1a,
mura.9,9,mural,pericytes,pericyte,0 (general),pericyte,0 (general),ZFA:0009112,mura.9,mura.ct.12,pdgfrb,ndufa4l2a,rgs5b,pdgfrb,notch3,col4a1,igfbp7,zeb2a,si:dkey-238c7.16,rgs5b,pcdh18a,sh3d21,notch3,rasl12,CR391910.2,
mura.10,10,mural,visceral smooth muscle,visceral smooth muscle,intestine (putatively longitudinal),visceral smooth muscle,intestine (putatively longitudinal),"ZFA:0001324,ZFA:0005279",mura.10,mura.ct.13,desmb/il13ra2,csrp1b,smtn2b,desmb,csrp1b,cald1b,acta2,tagln,tpm2,CR753876.1,desmb,zgc:110699,cald1b,si:ch211-137i24.10,fhl1a,
mura.11,11,mural,vascular smooth muscle,vascular smooth muscle,arterial (earlier),vascular smooth muscle,arterial (earlier),ZFA:0005321,mura.11,mura.ct.11,ldha,acta2,fbp2,ldha,gapdhs,eno3,pgk1,pkma,barx1,barx1,ldha,fbp2,pitx1,emilin2a,slc16a3,
mura.12,12,mural,vascular smooth muscle,vascular smooth muscle,general / progenitor,vascular smooth muscle,general / progenitor,ZFA:0005321,mura.12,mura.ct.12,foxc1a,vim,cxcl12a,vim,cxcl12a,krt18b,wfdc2,tpm4b,rplp2,wfdc2,prss35,vim,cxcl12a,hey2,foxc1a,
mura.13,13,mural,vascular smooth muscle,visceral smooth muscle,"progenitors, intestine",visceral smooth muscle,"progenitors, intestine",ZFA:0001324,mura.13,mura.ct.13,nkx2.3,nkx3.3,rprmb,nkx3.3,prdx1,rprmb,nkx2.3,XLOC-041870,hsd11b2,rprmb,nkx3.3,hsd11b2,prdx1,nkx2.3,nkx2.5,
mura.14,14,mural,heart,heart,myocardium,heart,myocardium,ZFA:0001319,mura.14,mura.ct.14,gata5,lmod2a,myl7,krt8,krt18a.1,sfrp5,mmel1,gata5,tmem88b,alpi.1,lmod2a,synpo2lb,tnni1b,sfrp5,tbx5a,
mura.15,15,mural,vascular smooth muscle,vascular smooth muscle,outflow tract / bulbus arteriosus,vascular smooth muscle,outflow / bulbus art.,ZFA:0005321,mura.15,mura.ct.15,elnb,loxa,fbln5,loxa,fbln5,BX663503.3,si:dkey-57k2.6,hpgd,dap1b,elnb,si:ch211-1a19.3,htra1a,loxa,gpr78a,si:dkey-164f24.2,
mura.16,16,mural,visceral smooth muscle,smooth muscle (likely visceral),col6a1/2+ nrg1+ foxl1+,smooth muscle (visceral?),col6a1/2+ nrg1+ foxl1+,ZFA:0005274,mura.16,mura.ct.16,foxl1,col6a1/col6a2,pdgfra,sparc,col6a1,col6a2,col1a2,col4a6,col5a1,nrg1,plk2a,CR318588.3,vwde,foxl1,zgc:195173,
mura.17,17,mural,heart,heart,epicardium,heart,epicardium,ZFA:0005057,mura.17,mura.ct.14,gata5,tbx18,tcf21,krt94,gstm.3,mmel1,krt8,krt15,tmem88b,tbx18,mmel1,gstm.3,si:ch211-108c6.2,krt94,col18a1b,
mura.18,18,mural,pericytes,liver,hepatic stellate cells,liver,hepatic stellate cells,ZFA:0009279,mura.18,mura.ct.18,nr1h5,colec11,angptl6,COLEC10,angptl6,rhag,ecm1b,colec11,tmem88b,si:ch211-207d6.2,angptl6,COLEC10,lhx9,masp1,colec11,
mura.19,19,mural,mural cell,mural cell (pdgrfa+/b-),lymphatic-associated (lyve1a+),mural cell,lymphatic-assoc. (pdgfra+/b-/lyve1a+),"ZFA:0005944,ZFA:0000385",mura.19,mura.ct.19,lyve1a,pdgfra,nrp2b,cfd,BX248318.1,yjefn3,pdgfra,BX088707.3,ntn5,BX248318.1,yjefn3,nmur3,chl1b,abhd2b,lyve1a,
mura.20,20,mural,pericytes,pericyte,1 (adma/lmx1bb+ - cranial),pericyte,1 (adma/lmx1bb+ - brain?),ZFA:0009112,mura.20,mura.ct.20,ndufa4l2a,adma,lmx1bb,igfbp7,si:dkey-238c7.16,marcksl1b,pitx2,cox4i2,rbpms2b,lmx1bb,ptger4a,LO018513.1,ndufa4l2a,zgc:112332,clec14a,
mura.21,21,mural,vascular smooth muscle,vascular smooth muscle,arterial (later),vascular smooth muscle,arterial (later),ZFA:0005321,mura.21,mura.ct.11,pfkpa,cnn1a,bgna,pgam1a,aldob,eno1a,gapdhs,pkma,pfkpa,bgna,cnn1a,pld6,pthlha,si:ch211-76l23.4,slc16a3,
mura.22,22,mural,visceral smooth muscle,visceral smooth muscle,cloaca,smooth muscle,cloaca,ZFA:0005274,mura.22,mura.ct.13,hoxa13a/b,acta2/tagln,evx1,bambia,hoxa13b,hoxa13a,bmp7b,lrrc17,evx1,evx1,hoxa13a,hoxa13b,htr7c,CCKAR,srd5a2b,
mura.23,23,mural,visceral smooth muscle,visceral smooth muscle,corin+ / rergla+ / wscd2+,smooth muscle,corin+ / rergla+ / wscd2+,ZFA:0005274,mura.23,mura.ct.23,acta2/tagln,ccl34b.4,cxcl11.1,corin,fhl2a,sost,rergla,ano1,rbpms2b,ano1,parvb,rbp1,si:dkey-203a12.9,cxcl11.1,rergla,
mura.24,24,mural,mural cell,mural cell,NCC progenitors,mural cell,NCC progenitors,"ZFA:0005944,ZFA:0009165",mura.24,mura.ct.24,dlx4a/dlx5a,acta2/tagln,barx1,actb2,dlx5a,dlx4a,calm2a,44814,notch3,dlx4a,dlx5a,dlx3b,LO018231.1,ms4a17a.7,dlx6a,
musc.1,1,muscle,paraxial mesoderm,tail bud,10-12 hpf,tailbud,10-12 hpf,ZFA:0000077,musc.1,musc.ct.1,eve1/cdx4,tbxta/tbx16,sox2,ptmab,cdx4,hspb1,NC-002333.4,si:ch73-1a9.3,ncl,cdx4,NC-002333.4,cdx1a,zgc:110425,hspb1,anp32e,
musc.2,2,muscle,paraxial mesoderm,somites 1-6,NA,somites 1-6,NA,ZFA:0000155,musc.2,musc.ct.14,msgn1,meox1/myod1,ripply1,NC-002333.4,rps18,ncl,si:ch73-1a9.3,pabpc1a,acin1a,msgn1,NC-002333.4,tbx16,cdx4,zgc:110425,cdx1a,
